Hello!	¡Kumusta!
Oh no!	¡Ayaw gad!
You won.	Dinmaog hi ikaw.
You won.	Nagdaog hi ikaw.
You won.	Nagdaog ka.
You won.	Dinmaog ka.
Use this.	Gamita iní.
Am I late?	¿Urhi na ak'?
I'm loved.	Ginhigugma hi akó.
I love you.	Nahigugma akó ha imo.
I love you.	Ginhihigugma ko hi ikaw.
He's a nerd.	Nerd hiyá.
I didn't go.	Waray ako kumadto.
I won't ask.	Dírì ako mag-aaro.
I'm all set.	Andam na ako.
It may rain.	Mauran ada.
It may rain.	Bangin umuran.
Who are you?	¿Hin-o ka?
Are you cold?	Ginhahagkutan ka?
Are you cold?	Gintataghuman ka?
I can't read.	Diri ako nakakabasa.
I don't know.	Diri hi akó maáram.
I don't know.	Diri ak maáram.
I don't know.	Waray ko sarabotan.
I don't know.	Waray ak sarabotan.
I don't know.	Ambot.
Put it there.	Ikadto.
Put it there.	Ibutang ngadto.
Put it there.	Dídto ibutang.
Put it there.	Ikada.
You fixed it.	Gin-ayád nímo itón.
Are you ready?	¿Ándam ka bà?
I'll get this.	Kuhaon ko ini.
It's rat meat.	Unod iton hin yatot.
It's too ugly.	Maraksot iton hin duro.
It's too ugly.	Karaksut hin duro.
They're drunk.	Mga hubog hira.
Come back here.	Bálik nganhi.
Come back here.	Bálik ngadi.
Happy birthday!	¡Malipayon nga Kaadlawan!
I can't go out.	Diri ako nakakagawas.
I can't go out.	Diri ako puydi gumawas.
I love his son.	Higugmaon ko it' íya anák nga lalaki.
I made Tom cry.	Ginpatuok ko hi Tom.
I'm going, too.	Malakat gihap ak.
It's no secret.	Diri na iton sekreto.
It's no secret.	Diri na ini sekreto.
It's no secret.	Diri na in' sekreto.
It's no secret.	Diri na 'ton sekreto.
Never say that.	Ayaw gud pagsiríng hitón.
Please help me.	Alayon pagbúlig ha akon.
We're a couple.	Mag-asawa kami.
Don't tell lies.	Ayaw pagbinuwa.
Don't tell lies.	Ayaw pagbuwa.
I had some help.	May-ada pira nga bumulig ha ak.
I have two cats.	May-ada akó duha nga misay.
I have two cats.	Duhá iton ákòn misay.
I saw her again.	Utro ko hiyá nakita.
I saw her again.	Nakit-an ko hiyá utro.
I'll sing today.	Makanta ako yana nga adlaw.
I'm leaving you.	Babayaanan ko ikaw.
Let me find out.	Kitáun ko.
Life is strange.	Iton kinabuhi baga lain la.
Look around you.	Panngita hit' imo palibot.
Merry Christmas!	¡Maúpay nga Pasko!
This is a horse.	Kabayo iní.
Tom reads a lot.	Makibabasahun hi Tom.
Tom will follow.	Masunod hi Tom.
Why is Tom here?	Kay-ano aanhi hi Tom?
Did Tom tell you?	¿Sinumatan ka ni Tom?
I don't know her.	Dírì ko hiyá kilalado.
I own this place.	Ákòn ini nga lugár.
I started to cry.	Nagtikang ak' pagtuok.
Leave it be, Tom.	Pabay-i iton, Tom.
Leave it be, Tom.	Pasagdi iton Tom.
Listen carefully.	Pamatì hin maúpay.
Nobody does that.	Waray nagbubuhat hiton.
Nobody does that.	Waray naghihimo hiton.
Please move back.	Alayon atras daw.
Tom is reluctant.	Nag-aalang hi Tom.
Tom is reluctant.	Hi Tom nag-aalang.
We have two ears.	Mayda hi kitá duhá nga talinga.
You're not crazy.	Diri ka lurong.
Can't you help me?	Diri mo ako mabubuligan?
He lives close by.	Harani la hiyá naukoy.
How can I see you?	Panan-o ko ikaw makikit'an?
How can I see you?	Ano man iton akon pakakita ha imo?
I didn't break in.	Waray ako magpilit pagsakob.
I have a question.	May-adá ak pakiana.
I like Tom better.	Ngaru-karuyag ko hi Tom.
I like Tom better.	Mas karuyag ko hi Tom.
I like Tom better.	Naaruayun akó kan Tom.
I like Tom better.	Mas naayun akó kan Tom.
I live near a dam.	Naukóy ako hirani hit dam.
I lost everything.	Nawara ko tanan.
I will stay there.	Aanhi la ako.
I will stay there.	Mahuyo la ak dinhi.
I will stay there.	Nganhi la ak maukoy.
I'm at the prison.	Adi ako ha prisohan.
I'm at the prison.	Adi ako ha karsel.
Keep watch on him.	Bantayi hiyá.
Keep watch on him.	Kitakitaa hiyá.
Keep watch on him.	Hilinghilinga hiya.
Keep watch on him.	Sirusiplati hiyá.
Let's go swimming.	Kana kalangoy kita.
My father is rich.	Riko it akon tatay.
That book is mine.	Akon iton nga libro.
That book is mine.	Iton nga libro akon.
The market is big.	Dako iton merkádo.
Tom coughed again.	Hi Tom umubo na liwát.
Tom is just a boy.	Lumatod la iton hi Tom.
Tom is just a boy.	Bata la iton hi Tom.
Tom skipped lunch.	Waray maningudto hi Tom.
We must stop this.	Kinahanglan naton pahuyuon ini.
We must stop this.	Kinahanglan ta paundangon ini.
We'll handle this.	Kakap'tan nam' inin.
What's that sound?	¿Ano it nga tunog?
What's the number?	Ano iton numero?
What's the number?	Ano an numero?
Who is that woman?	Hin-o iton nga babáyi?
Who is that woman?	It' nga babáyi hin-o ito'?
Who made this box?	¿Hin-o an naghímò hiní nga kahón?
Who was Mona Lisa?	¿Hin-o ba hi Mona Lisa?
You can trust Tom.	Matatapuran mo hi Tom.
You make me laugh.	Nakakatawa ako ha imo.
Do I need dentures?	¿Kinahanglanun ko na ba hin postiso?
Do I need dentures?	¿Kinahanglan ko ba hin postiso?
Everybody's in bed.	It' ngatanan áada na higdaan.
Get over here, Tom.	Pakanhi daw Tom.
Get over here, Tom.	Pakadi daw Tom.
Get over here, Tom.	Kana ngadi Tom.
He's still at work.	Adto pa hiýa ha trabaho.
I came to know him.	Kumanhi ako para kilal-un hiya.
I didn't notice it.	Waray ko iton kakitai.
I didn't notice it.	Waray ko iton abata.
I don't have a cat.	Waray hi akó misay.
I don't have a cat.	Waray hi akó uding.
I don't have a cat.	Waray ak misay.
I don't have a cat.	Waray ak uding.
I have a nosebleed.	May kunggo ak.
I hope you're well.	Maupay unta iton imo kabutangan.
I never lie to you.	Diri ako nagbibinuwa ha imo.
I never touch beer.	Waray pa ako uminom hin beer.
I never touch beer.	Diri pa ako nakakatilaw hin beer.
I never touch beer.	Waray pa ako tumilaw hin beer.
I want to join you.	Karuyag ko bumulig ha íyo.
I want to join you.	Karuyag ko bumulig ha imo.
I want to join you.	Karuyag ko updan ka.
I want to join you.	Karuyag ko updan kamó.
I was playing here.	Nagmulay ako dinhi.
I was ready for it.	Ándam na akó pára hiton.
I'm a speechwriter.	Usa ako nga speechwriter.
I'm going with Tom.	Makadto ako kaupod hi Tom.
I'm going with Tom.	Maupod ako kan Tom.
I'm not in trouble.	Dírì'k búlig ha saramok.
Is this seat taken?	May-tag-iya na hini nga lingkúran?
It was unavoidable.	Diri adto mapupudngan.
It's rather unique.	Dírì 'ton kasagaran.
Look at Tom's face.	Kitai iton nawong ni Tom.
Nobody's that good.	Waray sugad hiton kamakarit.
Please call a taxi.	Alayon pagtáwag hin taxi.
That must be heavy.	Mabug-at gud iton.
That must be heavy.	Mabug-at gud ádto.
They're all normal.	Normal hirá ngatanan.
This is all I need.	Amo la ini iton akon mga kinahanglanon.
Tom is quite right.	Bagan ámu hi Tom.
Tom ran out of gas.	Naubusan hin gas hi Tom.
Tom seems stressed.	Bagan kapoy hi Tom.
Tom seems stressed.	Bagan problemado hi Tom.
Tom wants evidence.	Karuyag ni Tom hin ebidensya.
Tom will need help.	Manginahanglanon búlig hi Tom.
What's Boston like?	¿Ma-anó ba it Boston?
Where are my books?	¿Háin an ákòn mga líbro?
Who gave you these?	¿Hin-o an nagpinanhátag haím hiton?
Will it hurt a lot?	Magmamaul-ul iton hin duro?
You're still young.	Bata ka pa.
Every day is a gift.	Usa nga regalo iton kinada adlaw.
He knows how to bet.	Maaram hiya pagtaya.
He works in the lab.	Nagtratrabahu hiya ha laboratoryo.
He's all by himself.	Hiyá la nga usá.
He's all by himself.	Mag-usahan la hiyá.
He's all by himself.	Waráy niya kaupod.
I almost got robbed.	Haráni na akó kawátan.
I can depend on Tom.	Matatapuran ko hi Tom.
I can depend on Tom.	Natapod ako kan Tom.
I managed to get in.	Nahimo ko makasakob.
I met him yesterday.	Nakita ko hiya kakulop.
I met him yesterday.	Nakilala ko hiya kakulop.
I only saw him once.	Makausa ko la hiya kakit'i.
I want you to guess.	Karuyag ko tiguon mo.
I'll take my chance.	Pruybahan ko gadla.
I'm waiting for you.	Naghihinúlat hi akó ha imo.
Is it far from here?	¿Haráyò ba itón tíkang dinhi?
It makes me curious.	Napapaúsa ak hiton
It serves you right.	Angay la iton ha imo.
It serves you right.	Angay la't' ha im'.
It was very painful.	Maulol ádto hin duro.
It's Saturday today.	Sabado yana.
It's getting harder.	Nagtitikakuri na.
Just don't leave me.	Ayaw la ako bayai.
That doesn't matter.	Waray manla hiton.
They look exhausted.	Kapoy na hira kitaun.
They look exhausted.	Guol na hira pagkitaun.
They're really cool.	Kaastig talaga nira.
Tom tossed the ball.	Gin-itsa ni Tom an bola.
Tom won't negotiate.	Hi Tom diri makikigsabot.
We'll see you there.	Pagkíta nala kita ngadto.
What pretty flowers!	Kahusay'n mga bukad!
What should be done?	¿Áno it' ángay buháton?
You still need help.	Kinahanglanon mo la gihapon hin bulig.
You'll be my guests.	Magigin bisíta ko kamó.
You're just envious.	Na-áwà ka là.
You're out of order.	Nagwawatak ka.
Are you in Australia?	¿Áada ka ha Australya?
Are you in Australia?	¿Áda ka Australya?
Can we talk a second?	Puydi kita mag-estorya?
Did Tom see anything?	¿May nakit-an hi Tom?
Did you get the loan?	¿Nakuha mo an imo hinuhuram?
Did you see a doctor?	¿Nagpa-doktor ka?
Did you see a doctor?	¿Nakigkita ka hin doktor?
Did you see a doctor?	¿Bumisita ka ha doktor?
Did you see a doctor?	¿Kumadto ka doktor?
Don't rely on others.	Ayaw pagtápod hit ibá.
Good night, everyone!	¡Maupay nga gab-i ha ngatanan!
I can swim very fast.	Nakakalangoy akó hin madagmit.
I cannot read French.	Diri ako nakakabasa hin Pranses.
