Hello!	Sveiki!
Calm down.	Nomierines.
Do it now.	Dariet to tagad.
I'm timid.	Esmu kautrīgs.
It's free.	Tas ir bezmaksas.
Who is he?	Kas viņš ir.
I love you.	Es mīlu tevi.
I miss you.	Man tevis pietrūkst.
I sat down.	Es apsēdos.
I'm so fat.	Es esmu tāds tusnis.
Take cover!	Slēpes!
Who did it?	Kurš to izdarīja?
I buy tapes.	Es nopirku lentes
I was wrong.	Es kļūdījos.
I was wrong.	Man nebija taisnība.
I'll attend.	Es ieradīšos.
Life is fun.	Dzīve ir smieklīga.
Tom is dead.	Toms ir miris.
Tom is sure.	Toms ir pārliecināts.
Are you sure?	Vai tu esi pārliecināts?
I am curious.	Es esmu ziņkārīgs.
I can't sing.	Es nevaru dziedāt.
It's too big.	Tas ir par lielu.
Tom sat down.	Toms apsēdās.
Who's hungry?	Kāds ir izsalcis?
Everyone dies.	Visi mirst.
Get back here.	Nāc atpakaļ.
I hate coffee.	Es ienīstu kafiju.
It's improved.	Tās ir uzlabojies.
That's a fake.	Tas ir neīsts.
The bell rang.	Zvans nozvanīja.
Tom is stable.	Toms ir stabils.
Tom rushed in.	Toms ieskrēja iekšā.
Tom said that.	Toms pateica to.
Tom sat alone.	Toms sēdēja viens.
You can do it.	Tu to vari.
You may speak.	Tu vari runāt.
Do you have it?	Vai tev tas ir?
Get out of bed.	Ārā no gultas!
Happy New Year!	Laimīgu Jauno gadu!
He looks tired.	Viņš izskatās noguris.
I borrow money.	Es aizņēmos naudu.
I love parties.	Es mīlu ballītes.
I wasn't fired.	Mani neatlaida.
I went outside.	Es izgāju ārā.
I won't eat it.	Es to neēdīšu.
I won't starve.	Es nenomiršu badā.
I wore a hoody.	Es valkāju kapuci.
I work indoors.	Es strādāju iekštelpās.
I write poetry.	Es rakstu poēmu.
I'm a believer.	Es esmu ticīgais.
I'm a romantic.	Es esmu romantiķis.
It's too large.	Tas ir lielu.
It's very cold.	Ir ļoti auksti.
Please come in.	Ludzu nāc iekšā.
They have wine.	Viņiem ir vīns.
Tom sat calmly.	Toms sēdēja mierīgi.
Tom sat nearby.	Toms apsēdās tuvu.
Clean your room.	Iztīri savu istabu.
Congratulations!	Apsveicam!
Has he come yet?	Vai viņš jau ir atnācis?
He likes to run.	Viņam patīk skriet.
I'm going to go.	Es iešu.
Large, isn't it?	Liels, vai ne?
Lemons are sour.	Citroni ir skābi.
That's too much!	Tas ir par daudz.
They helped Tom.	Viņi palīdzēja Tomam.
They won't come.	Viņi nenāks.
Tom is confused.	Toms ir apjucis.
Tom kept silent.	Toms turpināja klusēt.
Tom seems bored.	Toms izskatās garlaikots.
We're dedicated.	Mēs esam izlēmuši.
