Go.	သွား။
Hi.	ဟိုင်း
Run!	ပြေး!
Who?	ဘယ်သူ။
Who?	ဘယ်သူလဲ။
Wow!	ဝါး...
Wow!	ဝိုး..
Fire!	မီးဗျို့။
Fire!	မီး။
Help!	ကယ်ကြပါ!
Help!	လုပ်ကြပါဦ!
Help!	ကူညီကြပါ!
Jump!	ခုန်!
Jump!	ခုန်ချ!
Jump.	ခုန်
Jump.	ခုန်ချ
Stop!	ရပ်!
Wait.	စောင့်ဦး။
Wait.	နေဦး။
Wait.	ခဏ!
Begin.	စတော့။
Hello!	ဟဲလို။
Hurry!	မြန်မြန်!
Hurry!	အမြန်လုပ်!
Relax.	စိတ်လျှော့။
Relax.	စိတ်အေးအေးထား။
Shoot!	ပစ်!
Smile.	ပြုံးမယ်။
Smile.	ပြုံးပါ။
Attack!	တိုက်ကြ။
Attack!	ချကြ။
Cheers!	ချီးယား!
Cheers!	ချကွာ!
Freeze!	ရပ်စမ်း။
Freeze!	မလှုပ်နဲ့။
Listen.	နားထောင်။
No way!	မဖြစ်နိုင်တာ!
No way!	မဟုတ်တာ!
Really?	တစ်ကယ်ကြီး။
Really?	တစ်ကယ်?
Really?	အဟုတ်?
Come on!	လာစမ်းပါ။
Come on!	လာခဲ့စမ်းပါ။
Get out.	ထွက်သွား။
Goodbye!	နှုတ်ဆက် တယ်နော်!
Goodbye!	ပြန်ပြီ!
Hi, Tom.	ဟိုင်း၊ တွမ်။
Perfect!	အပြည့်ပဲ!
Wake up!	ထတော့!
Wash up.	ဆေးကြောလိုက်။
Welcome.	မင်္ဂလာပါ။
Welcome.	ကြိုဆိုပါတယ်။
Why not?	ဘာလို့ မရမှာလဲ?
Why not?	ဘာကိစ္စ မဖြစ်ရ မှာ လဲ?
Have fun.	ပျော်ပါစေ။
Have fun.	ပျော်ရွင်ပါစေ။
Hi, guys.	ဟေ့ ကောင်တွေ။
Hi, guys.	ဟိုင်း ကောင်လေးတွေ။
How deep?	ဘယ်လောက် နက်လဲ။
Hurry up.	အမြန်လုပ်။
Hurry up.	သွက်သွက် လုပ်။
Look out!	သတိထား။
Speak up!	ပြော လေဟာ!
Speak up!	စကား ပြောလေ!
Stand up!	မတ်တပ် ရပ်။
Stand up.	မတ်တပ်ရပ်။
Terrific!	လက်ဖျားခါတယ်!
Terrific!	အံဖွယ်ပဲ!
Too late.	နောက်ကျ နေပြီ။
Too late.	အရမ်း နောက်ကျ ပြီ။
What fun!	ဘာတွေ ပျော်နေတာလဲ!
What fun!	ဘာ ပျော်စရာ ရှိလဲ!
Forget it.	မေ့လိုက်တော့။
Good luck.	ကံကောင်းပါစေ။
Goodnight.	ကောင်းသော ညပါ။
How awful!	ဘယ်လောက် စိတ်ပျက်ဖို့ကောင်းလဲ။
I'm a man.	ကျွန်တော် က လူတစ်‌ယောက်ပါ။
Ignore it.	အဲ့ဒါ ကို ဂရုမစိုက်နဲ့။
