Help!	Upomoć!
Jump.	Skok.
Jump.	Skoči!
Stop!	Stani!
Stop!	Dosta!
Cheers!	Živjeli!
Cheers!	Živio!
Really?	Stvarno?
Awesome!	Odlično!
Perfect!	Savršeno!
Welcome.	Dobrodošli.
Welcome.	Dobrodošao.
Terrific!	Sjajno!
Fantastic!	Fantastično!
Wonderful!	Predivno!
Unbelievable!	Nevjerovatno!
Congratulations!	Čestitam!
Remove your hat.	Skini kapu.
Come to my house.	Dođi kod mene kući.
Come to my house.	Dođi u moju kuću.
Come to my house.	Dođi mojoj kući.
It was destroyed.	Uništeno je.
We heard her cry.	Čuli smo je kako plače.
We heard her cry.	Čuli smo da ona plače.
Tom became a hero.	Tom je postao heroj.
Tom seemed annoyed.	Tom je djelovao iznervirano.
Come again any time.	Dođi opet bilo kada.
I finally got a job.	Konačno sam dobio posao.
We can depend on Tom.	Možemo se osloniti na Toma.
What a wonderful day!	Kakav divan dan!
What would Tom think?	Šta bi Tom pomislio?
What would Tom think?	Šta bi Tom mislio?
I hope that's the truth.	Nadam se da je to istina.
We'll fight to the last.	Borićemo se do zadnjeg.
What does he mean to do?	Šta želi on da uradi?
I regard him as an enemy.	Ja njega smatram za neprijatelja.
I regard him as an enemy.	Smatram ga neprijateljom.
The house is owned by him.	Kuća je u njegovom posjedstvu.
We went in search of gold.	Otišli smo u potragu za zlatom.
Maybe Tom can speak French.	Možda Tom zna francuski.
Maybe Tom can speak French.	Možda Tom zna da priča francuski.
How did you accomplish this?	Kako si ovo uspio?
How did you accomplish this?	Kako si uspio da ostvariš ovo?
My family are all very well.	Svi u mojoj porodici su dobro.
Tom looks totally wiped out.	Tom izgleda potpuno uništeno.
Tom says he wants to change.	Tom kaže da želi da se promijeni.
I don't like to be surprised.	Ne volim da se iznenadim.
We saw another ship far away.	Vidjeli smo još jedan brod u daljini.
Tom couldn't finish his lunch.	Tom nije mogao da završi svoj ručak.
Tom couldn't finish his lunch.	Tom nije mogao da završi ručak.
Tom knew Mary didn't like him.	Tom je znao da se ne sviđa Mariji.
Tom knew Mary didn't like him.	Tom je znao da ga Marija ne voli.
We discussed our future plans.	Razgovarali smo o planovima za budućnost.
We sang as loudly as we could.	Pjevali smo glasno koliko smo mogli.
We're anxious about her health.	Zabrinuti smo za njeno zdravlje.
We've had bad weather recently.	Imali smo loše vrijeme nedavno.
French isn't my native language.	Francuski nije moj maternji jezik.
I doubt if Tom will be truthful.	Sumnjam da će Tom biti iskren.
Tom rarely eats with his family.	Tom rijetko jede sa svojom porodicom.
Tom told me to knock on the door.	Tom mi je rekao da pokucam na vrata.
We objected, but Tom left anyway.	Protivili smo se, ali Tom je otišao svakako.
Are Tom and Mary in Australia now?	Da li su sada Tom i Marija u Australiji?
Insofar as we know, Tom is guilty.	Koliko znamo do sada, Tom je kriv.
Tom can be trusted to some degree.	Tomu se može vjerovati donekle.
Tom isn't here. He's already left.	Tom nije ovde. Već je otišao.
Tom wasn't able to shoot the deer.	Tom nije mogao da upuca jelena.
