Go.	Dža.
Run!	Naš!
Who?	Kon?
Fire!	Jag!
Jump.	Xut.
Wait!	Ažukêr!
Hello!	Baxtalo!
Really?	Čačes?
Thanks.	Palikerav tuke.
Perfect!	Perfektno!
Seriously?	Čačes?
Tom stood up.	O Tom vuštilas.
Unbelievable!	Neverovatno!
Stay together.	Bešen ane k than.
Stay together.	Bešen khetane.
Tom can't cook.	O Tom naštil te čiravel.
Tom can't cook.	O Tom či žanel te čiravel.
Tom was scared.	O Tom daràjlas.
Tom is a singer.	Tom si jekh džilabatori.
Tom is a tailor.	O Tom si jekh kroitori.
Tom is a tailor.	O Tom si jekh sêbêvo.
Tom is a tailor.	O Tom si jekh krojači.
We ate together.	Ame xalam khetane.
We ate together.	Ame xalam ane k than.
We eat together.	Ame xas ane k than.
We eat together.	Ame xas khetane.
We run together.	Ame našas ane k than.
We run together.	Ame našas khetane.
That was a shock.	Sas jekh šoko.
Tom got arrested.	O Tom sas astardo.
Tom is terrified.	O Tom daral.
Tom never laughs.	O Tom či asal šoha.
Tom never laughs.	O Tom či asal nikad.
We came together.	Avilam khetane.
We came together.	Ame avilam ane k than.
We left together.	Ame gelam tar ane k than.
We left together.	Ame gelam tar khetane.
We live together.	Ame bešas ane k than.
We live together.	Ame trajis khetane.
We were together.	Samas khetane.
We were together.	Ame samas ane k than.
We work together.	Ame keras buči ane k than.
We work together.	Ame keras buťi khetane.
They ate together.	Xale khetane.
They ate together.	Von xale ane k than.
We cried together.	Rujam khetane.
We cried together.	Ame rujam ane k than.
We dance together.	Ame khêlas ane k than.
We dance together.	Ame khêlas khetane.
We study together.	Ame šičuvas ane k than.
We study together.	Ame šičuvas khetane.
I bought a new car.	Kindem jekh nevija matora.
They came together.	Von avile khetane.
They came together.	Avile khetane.
They came together.	Von avile ane k than.
They came together.	Avile ane k than.
They left together.	Von gele tar khetane.
They left together.	Gele tar khetane.
They left together.	Gele tar ane k than.
They went together.	Von gele khetane.
They went together.	Von gele ane k than.
They were together.	Von sas khetane.
They were together.	Von sas ane k than.
They work together.	Von keren buči ane k than.
They work together.	Keren but'i khetane.
We prayed together.	Ame řudžisajlam ane k than.
We prayed together.	Ame řudžisajlam khetane.
We worked together.	Ame kerdam buči ane k than.
We worked together.	Kerdam but'i khetane.
You have a problem.	Si tu jekh bajo.
I can't cook at all.	Me naštiv te čiraváv, niči.
I've got no friends.	Naj man amala.
Tom understood that.	O Sami haľardas les.
Tom understood that.	O Tom hakhjardas les.
Tom understood that.	O Tom hačardas les.
Tom understood that.	O Tom razumisardas les.
We grew up together.	Ame barilam khetane.
We grew up together.	Barilam ane k than.
We'll come together.	Ame avas khetane.
We'll come together.	Ame avas ane k than.
Where's the library?	Kaj i biblioteka?
How can they do that?	Sar daštin te keren les?
I can't believe this.	Me naštiv te pačav les.
I knew Tom was lying.	Me žanglem kaj Tom koxadás.
Shall we go together?	Ame žas khetane?
Shall we go together?	Ame žas ane k than?
The doors are locked.	Le vudara si phandade čajatar.
They walked together.	Von phirde khetane.
We traveled together.	Ame phirdam ane k than.
We traveled together.	Ame putujisardam khetane.
We were out together.	Ame samas avri khetane.
We were out together.	Samas avri ane k than.
Where is the library?	Kaj i biblioteka?
Why did Tom eat that?	Sostar o Tom xalas les?
Tom almost got killed.	O Tom sas pašte mudardo.
We work well together.	Ame keras laši buči ane k than.
We work well together.	Ame keras laši but'i khetane.
They traveled together.	Von putujisarde ane k than.
They traveled together.	Von phirde khetane.
This is so comfortable.	Si but konfortabilo.
Tom didn't do anything.	O Tom či kerdas khanči.
We play games together.	Ame khelas khêlimata ane k than.
We play games together.	Khelas khêlimata khetane.
We're working together.	Ame keras buči khetane.
We're working together.	Keras but'i ane k than.
Why isn't Tom sleeping?	Sostar o Tom na sovel?
You're always together.	Tumen sen sagda khetane.
You're always together.	Tumen sen sagda ane k than.
They're always together.	Von si sagda khetane.
They're always together.	Von si sagda ane k than.
They're coming together.	Von aven khetane.
They're coming together.	Aven ane k than.
Tom isn't strong enough.	Tom naj dosta zuralo.
Tom was looking at Mary.	O Tom dikhlas pe Mary.
Tom, I'm talking to you.	Tom, me dav duma tusa.
We were always together.	Samas sagda khetane.
We were always together.	Ame samas sagda ane k than.
Where did you guys meet?	Kaj tumen maladilan?
Tell me why you did that.	Phen mange sostar kerdan les.
They're playing together.	Von khelen khetane.
They're playing together.	Von khelen ane k than.
Tom is buying a computer.	O Tom kinel jekh kompjuteri.
Tom is buying a computer.	O Tom činel jekh kompjuteri.
Tom is glad he has a job.	O Tom lošalo lo ke si les jekh buči.
Tom is glad he has a job.	O Tom si bukurime ke si les jekh buči.
Tom's not home right now.	O Tom naj khêrê akana.
Turtles don't have teeth.	Le tortugi naj len dand.
We should study together.	Musaj amenge te šičuvas ane k than.
We should study together.	Musaj amenge te šičuvas khetane.
We study French together.	Ame šičuvas francusicka khetane.
We study French together.	Ame šičuvas francusicka ane k than.
Everybody stayed together.	Sa bešle khetane.
Everybody stayed together.	Savořê bešle ane k than.
I don't know why Tom left.	Či žanav sostar Tom gelas tar.
I don't think Tom is back.	Me či gindiv ke Tom avel palpale.
I don't think Tom is cool.	Me či gindiv ke Tom si lašo.
I don't think Tom is lost.	Me či gindiv ke Tom si xasardo.
I don't think Tom is mean.	Me či gindiv ke Tom nasul lo.
I don't think Tom is mean.	Me či gindiv ke Tom si nasul.
I don't think Tom is nuts.	Me či gindiv ke Tom si dilo.
I don't think Tom is weak.	Me či gindiv ke Tom si kovlo.
I don't think Tom is weak.	Me či gindiv ke Tom si naźuralo.
I don't think Tom was mad.	Me či gindiv ke Tom sas dilo.
I don't think Tom was shy.	Me či gindiv ke Tom sas lažano.
I heard that Tom was dead.	Ašundém ke o Tom sas mulo.
